Tabelle: 12521-0041
Foreigners: Administrative districts, reference date, sex,;;;;;;
country groups/citizenship;;;;;;
Statistics of foreigners;;;;;;;;;
Foreigners (number);;;;;;;;;
;;;;Male;;Female;;Total;
;;;EU-28 (until 2020-01-31);5170;e;4075;e;9250;e
;;;EU-28 third countries (until 2020-01-31);9455;e;8775;e;18230;e
;;;EU-27 (until 2013-06-30);4920;e;3805;e;8725;e
;;;EU-27 third countries (until 2013-06-30);9705;e;9050;e;18750;e
;;;EU-25 (until 2006-12-31);2860;e;2520;e;5380;e
;;;EU-25 third countries (until 2006-12-31);11765;e;10335;e;22100;e
;;;EU-15 (until 2004-04-30);1845;e;1525;e;3370;e
;;;EU-15 third countries (until 2004-04-30);12780;e;11325;e;24110;e
;;;EC-12 (until 1994-12-31);1645;e;1310;e;2955;e
;;;EC-12 third countries (until 1994-12-31);12980;e;11540;e;24520;e
;;;EC-10 (until 1985-12-31);1275;e;990;e;2265;e
;;;EC-10 third countries (until 1985-12-31);13350;e;11860;e;25210;e
;;;EC-9 (until 1980-12-31);1055;e;855;e;1905;e
;;;EC-9 third countries (until 1980-12-31);13575;e;11995;e;25570;e
;;;EEC-6 (until 1972-12-31);965;e;785;e;1750;e
;;;EEC-6 third countries (until 1972-12-31);13660;e;12065;e;25725;e
;;;Africa;930;e;670;e;1600;e
;;;North Africa;170;e;125;e;300;e
;;;West Africa;100;e;70;e;175;e
;;;Central Africa;30;e;25;e;55;e
;;;East Africa;610;e;420;e;1030;e
;;;Southern Africa;20;e;20;e;40;e
;;;America;155;e;200;e;355;e
;;;North America;100;e;80;e;185;e
;;;Central America and Caribbean;20;e;30;e;50;e
;;;South America;35;e;90;e;125;e
;;;Asia;3190;e;2660;e;5850;e
;;;South West Asia;1560;e;1220;e;2780;e
;;;South and South East Asia;430;e;620;e;1050;e
;;;East and Central Asia;1195;e;820;e;2015;e
;;;Australia and Oceania;5;e;5;e;10;e
;;;Countries of origin of foreign workers;5245;e;4370;e;9620;e
;;;Territory of former Yugoslavia;1325;e;1140;e;2465;e
;;;Territory of former Serbia and Montenegro;740;e;600;e;1340;e
;;;Territory of the former Soviet Union;1760;e;2500;e;4260;e
;;;Territory of former Czechoslovakia;70;e;115;e;185;e
;;;United Kingdom incl. British overseas territories;75;e;50;e;125;e
;06534;Marburg-Biedenkopf, Landkreis;Total;18395;e;17735;e;36130;e
;;;videlicet:;;;;;;
;;;Europe;11840;e;12175;e;24015;e
;;;EU-27 (since 2020-02-01);5680;e;5135;e;10815;e
;;;EU-27 third countries (since 2020-02-01);12715;e;12600;e;25315;e
;;;EU-28 (until 2020-01-31);5750;e;5180;e;10930;e
;;;EU-28 third countries (until 2020-01-31);12645;e;12555;e;25200;e
;;;EU-27 (until 2013-06-30);5510;e;4980;e;10490;e
;;;EU-27 third countries (until 2013-06-30);12885;e;12755;e;25640;e
;;;EU-25 (until 2006-12-31);3450;e;3495;e;6945;e
;;;EU-25 third countries (until 2006-12-31);14945;e;14240;e;29185;e
;;;EU-15 (until 2004-04-30);1935;e;2170;e;4100;e
;;;EU-15 third countries (until 2004-04-30);16460;e;15565;e;32030;e
;;;EC-12 (until 1994-12-31);1770;e;1985;e;3755;e
;;;EC-12 third countries (until 1994-12-31);16630;e;15750;e;32375;e
;;;EC-10 (until 1985-12-31);1510;e;1710;e;3220;e
;;;EC-10 third countries (until 1985-12-31);16885;e;16025;e;32910;e
;;;EC-9 (until 1980-12-31);1290;e;1575;e;2860;e
;;;EC-9 third countries (until 1980-12-31);17110;e;16160;e;33270;e
;;;EEC-6 (until 1972-12-31);1190;e;1490;e;2680;e
;;;EEC-6 third countries (until 1972-12-31);17210;e;16245;e;33450;e
;;;Africa;1135;e;860;e;1995;e
;;;North Africa;305;e;210;e;520;e
;;;West Africa;155;e;105;e;265;e
;;;Central Africa;55;e;50;e;105;e
;;;East Africa;600;e;470;e;1070;e
;;;Southern Africa;20;e;20;e;40;e
;;;America;430;e;515;e;945;e
;;;North America;210;e;195;e;405;e
;;;Central America and Caribbean;55;e;75;e;125;e
;;;South America;165;e;245;e;410;e
;;;Asia;4855;e;4085;e;8940;e
;;;South West Asia;2955;e;2205;e;5160;e
;;;South and South East Asia;575;e;630;e;1210;e
;;;East and Central Asia;1320;e;1250;e;2570;e
;;;Australia and Oceania;25;e;15;e;40;e
;;;Countries of origin of foreign workers;5460;e;5420;e;10885;e
;;;Territory of former Yugoslavia;815;e;715;e;1530;e
;;;Territory of former Serbia and Montenegro;425;e;395;e;820;e
;;;Territory of the former Soviet Union;2655;e;3820;e;6475;e
;;;Territory of former Czechoslovakia;80;e;105;e;185;e
;;;United Kingdom incl. British overseas territories;70;e;45;e;115;e
;06535;Vogelsbergkreis;Total;5530;e;5040;e;10565;e
;;;videlicet:;;;;;;
;;;Europe;3385;e;3430;e;6815;e
;;;EU-27 (since 2020-02-01);1865;e;1600;e;3465;e
;;;EU-27 third countries (since 2020-02-01);3665;e;3435;e;7100;e
;;;EU-28 (until 2020-01-31);1885;e;1620;e;3500;e
;;;EU-28 third countries (until 2020-01-31);3645;e;3420;e;7065;e
;;;EU-27 (until 2013-06-30);1795;e;1545;e;3335;e
;;;EU-27 third countries (until 2013-06-30);3735;e;3495;e;7230;e
;;;EU-25 (until 2006-12-31);1175;e;1065;e;2240;e
;;;EU-25 third countries (until 2006-12-31);4355;e;3970;e;8325;e
;;;EU-15 (until 2004-04-30);490;e;390;e;880;e
;;;EU-15 third countries (until 2004-04-30);5040;e;4645;e;9685;e
;;;EC-12 (until 1994-12-31);415;e;330;e;745;e
;;;EC-12 third countries (until 1994-12-31);5115;e;4705;e;9820;e
;;;EC-10 (until 1985-12-31);355;e;275;e;630;e
;;;EC-10 third countries (until 1985-12-31);5175;e;4760;e;9935;e
;;;EC-9 (until 1980-12-31);300;e;250;e;545;e
;;;EC-9 third countries (until 1980-12-31);5230;e;4790;e;10020;e
;;;EEC-6 (until 1972-12-31);270;e;225;e;495;e
;;;EEC-6 third countries (until 1972-12-31);5260;e;4810;e;10070;e
;;;Africa;415;e;295;e;710;e
;;;North Africa;70;e;35;e;105;e
;;;West Africa;50;e;35;e;85;e
;;;Central Africa;15;e;10;e;25;e
;;;East Africa;275;e;205;e;480;e
;;;Southern Africa;10;e;5;e;20;e
;;;America;90;e;110;e;205;e
;;;North America;55;e;35;e;95;e
;;;Central America and Caribbean;10;e;15;e;25;e
;;;South America;25;e;60;e;85;e
;;;Asia;1595;e;1170;e;2765;e
;;;South West Asia;855;e;560;e;1415;e
;;;South and South East Asia;125;e;185;e;310;e
;;;East and Central Asia;610;e;425;e;1040;e
;;;Australia and Oceania;5;e;-;;5;e
;;;Countries of origin of foreign workers;1245;e;980;e;2225;e
;;;Territory of former Yugoslavia;420;e;365;e;785;e
;;;Territory of former Serbia and Montenegro;175;e;180;e;355;e
;;;Territory of the former Soviet Union;840;e;1280;e;2120;e
;;;Territory of former Czechoslovakia;35;e;40;e;75;e
;;;United Kingdom incl. British overseas territories;20;e;15;e;35;e
;06611;Kassel, kreisfreie Stadt;Total;38270;e;36270;e;74540;e
;;;videlicet:;;;;;;
;;;Europe;23885;e;24065;e;47955;e
;;;EU-27 (since 2020-02-01);11750;e;10115;e;21870;e
;;;EU-27 third countries (since 2020-02-01);26520;e;26150;e;52670;e
;;;EU-28 (until 2020-01-31);11870;e;10190;e;22055;e
;;;EU-28 third countries (until 2020-01-31);26405;e;26080;e;52480;e
;;;EU-27 (until 2013-06-30);10845;e;9290;e;20135;e
;;;EU-27 third countries (until 2013-06-30);27425;e;26980;e;54405;e
;;;EU-25 (until 2006-12-31);5825;e;5345;e;11170;e
;;;EU-25 third countries (until 2006-12-31);32445;e;30925;e;63370;e
;;;EU-15 (until 2004-04-30);3315;e;2785;e;6100;e
;;;EU-15 third countries (until 2004-04-30);34955;e;33485;e;68440;e
;;;EC-12 (until 1994-12-31);2965;e;2405;e;5370;e
;;;EC-12 third countries (until 1994-12-31);35305;e;33860;e;69165;e
;;;EC-10 (until 1985-12-31);2235;e;1760;e;3995;e
;;;EC-10 third countries (until 1985-12-31);36035;e;34505;e;70540;e
;;;EC-9 (until 1980-12-31);1905;e;1545;e;3450;e
;;;EC-9 third countries (until 1980-12-31);36370;e;34720;e;71090;e
;;;EEC-6 (until 1972-12-31);1740;e;1435;e;3175;e
;;;EEC-6 third countries (until 1972-12-31);36530;e;34835;e;71365;e
;;;Africa;3315;e;2665;e;5980;e
;;;North Africa;655;e;455;e;1105;e
;;;West Africa;380;e;265;e;645;e
;;;Central Africa;95;e;75;e;170;e
;;;East Africa;2145;e;1810;e;3955;e
;;;Southern Africa;45;e;65;e;105;e
;;;America;570;e;700;e;1270;e
;;;North America;255;e;230;e;485;e
;;;Central America and Caribbean;80;e;140;e;220;e
;;;South America;235;e;335;e;565;e
;;;Asia;10105;e;8515;e;18625;e
;;;South West Asia;5995;e;4650;e;10645;e
;;;South and South East Asia;1275;e;1505;e;2780;e
;;;East and Central Asia;2840;e;2360;e;5200;e
;;;Australia and Oceania;20;e;25;e;45;e
;;;Countries of origin of foreign workers;11325;e;9885;e;21205;e
;;;Territory of former Yugoslavia;3840;e;3265;e;7105;e
;;;Territory of former Serbia and Montenegro;1340;e;1140;e;2480;e
;;;Territory of the former Soviet Union;4975;e;7625;e;12595;e
;;;Territory of former Czechoslovakia;130;e;175;e;305;e
;;;United Kingdom incl. British overseas territories;120;e;80;e;195;e
;06631;Fulda, Landkreis;Total;15960;e;13575;e;29535;e
;;;videlicet:;;;;;;
;;;Europe;10250;e;9260;e;19515;e
;;;EU-27 (since 2020-02-01);5305;e;4055;e;9355;e
;;;EU-27 third countries (since 2020-02-01);10655;e;9525;e;20180;e
;;;EU-28 (until 2020-01-31);5355;e;4080;e;9435;e
;;;EU-28 third countries (until 2020-01-31);10605;e;9495;e;20095;e
;;;EU-27 (until 2013-06-30);4895;e;3740;e;8635;e
;;;EU-27 third countries (until 2013-06-30);11065;e;9835;e;20900;e
;;;EU-25 (until 2006-12-31);2770;e;2330;e;5100;e
;;;EU-25 third countries (until 2006-12-31);13185;e;11250;e;24435;e
;;;EU-15 (until 2004-04-30);1210;e;975;e;2180;e
;;;EU-15 third countries (until 2004-04-30);14750;e;12605;e;27350;e
;;;EC-12 (until 1994-12-31);1090;e;855;e;1945;e
;;;EC-12 third countries (until 1994-12-31);14870;e;12720;e;27590;e
;;;EC-10 (until 1985-12-31);870;e;645;e;1515;e
;;;EC-10 third countries (until 1985-12-31);15085;e;12930;e;28020;e
;;;EC-9 (until 1980-12-31);700;e;520;e;1220;e
;;;EC-9 third countries (until 1980-12-31);15255;e;13060;e;28315;e
;;;EEC-6 (until 1972-12-31);625;e;465;e;1090;e
;;;EEC-6 third countries (until 1972-12-31);15335;e;13110;e;28445;e
;;;Africa;1345;e;1035;e;2380;e
;;;North Africa;290;e;180;e;470;e
;;;West Africa;190;e;105;e;300;e
;;;Central Africa;120;e;140;e;255;e
;;;East Africa;725;e;595;e;1320;e
;;;Southern Africa;25;e;15;e;40;e
;;;America;300;e;270;e;570;e
;;;North America;200;e;85;e;285;e
;;;Central America and Caribbean;30;e;60;e;85;e
;;;South America;70;e;130;e;200;e
;;;Asia;3920;e;2890;e;6810;e
;;;South West Asia;1920;e;1340;e;3260;e
;;;South and South East Asia;585;e;630;e;1215;e
;;;East and Central Asia;1415;e;915;e;2335;e
;;;Australia and Oceania;5;e;10;e;15;e
;;;Countries of origin of foreign workers;4450;e;3535;e;7980;e
;;;Territory of former Yugoslavia;1900;e;1535;e;3435;e
;;;Territory of former Serbia and Montenegro;715;e;555;e;1265;e
;;;Territory of the former Soviet Union;2055;e;2955;e;5010;e
;;;Territory of former Czechoslovakia;135;e;145;e;275;e
;;;United Kingdom incl. British overseas territories;50;e;30;e;80;e
;06632;Hersfeld-Rotenburg, Landkreis;Total;8200;e;7190;e;15390;e
;;;videlicet:;;;;;;
;;;Europe;5965;e;5305;e;11270;e
;;;EU-27 (since 2020-02-01);3725;e;2605;e;6325;e
;;;EU-27 third countries (since 2020-02-01);4475;e;4590;e;9065;e
;;;EU-28 (until 2020-01-31);3750;e;2615;e;6365;e
;;;EU-28 third countries (until 2020-01-31);4450;e;4580;e;9025;e
;;;EU-27 (until 2013-06-30);3460;e;2405;e;5870;e
;;;EU-27 third countries (until 2013-06-30);4735;e;4785;e;9520;e
;;;EU-25 (until 2006-12-31);2080;e;1515;e;3595;e
;;;EU-25 third countries (until 2006-12-31);6115;e;5680;e;11795;e
;;;EU-15 (until 2004-04-30);585;e;470;e;1050;e
;;;EU-15 third countries (until 2004-04-30);7615;e;6725;e;14340;e
;;;EC-12 (until 1994-12-31);520;e;400;e;920;e
;;;EC-12 third countries (until 1994-12-31);7680;e;6795;e;14470;e
;;;EC-10 (until 1985-12-31);330;e;230;e;560;e
;;;EC-10 third countries (until 1985-12-31);7870;e;6960;e;14830;e
;;;EC-9 (until 1980-12-31);285;e;195;e;480;e
;;;EC-9 third countries (until 1980-12-31);7915;e;6995;e;14910;e
;;;EEC-6 (until 1972-12-31);255;e;170;e;425;e
;;;EEC-6 third countries (until 1972-12-31);7945;e;7020;e;14965;e
;;;Africa;515;e;410;e;930;e
;;;North Africa;80;e;55;e;130;e
;;;West Africa;45;e;30;e;75;e
;;;Central Africa;25;e;30;e;55;e
;;;East Africa;365;e;295;e;660;e
;;;Southern Africa;5;e;5;e;10;e
;;;America;125;e;90;e;215;e
;;;North America;95;e;35;e;130;e
;;;Central America and Caribbean;10;e;10;e;15;e
;;;South America;25;e;45;e;70;e
;;;Asia;1530;e;1330;e;2865;e
;;;South West Asia;810;e;740;e;1550;e
;;;South and South East Asia;260;e;295;e;555;e
;;;East and Central Asia;460;e;295;e;760;e
;;;Australia and Oceania;5;e;5;e;10;e
;;;Countries of origin of foreign workers;1945;e;1715;e;3665;e
;;;Territory of former Yugoslavia;960;e;855;e;1815;e
;;;Territory of former Serbia and Montenegro;220;e;180;e;400;e
;;;Territory of the former Soviet Union;1135;e;1620;e;2755;e
;;;Territory of former Czechoslovakia;70;e;65;e;135;e
;;;United Kingdom incl. British overseas territories;25;e;10;e;35;e
;06633;Kassel, Landkreis;Total;-;;-;;-;
;;;videlicet:;;;;;;
;;;Europe;-;;-;;-;
;;;EU-27 (since 2020-02-01);-;;-;;-;
;;;EU-27 third countries (since 2020-02-01);-;;-;;-;
;;;EU-28 (until 2020-01-31);-;;-;;-;
;;;EU-28 third countries (until 2020-01-31);-;;-;;-;
;;;EU-27 (until 2013-06-30);-;;-;;-;
;;;EU-27 third countries (until 2013-06-30);-;;-;;-;
;;;EU-25 (until 2006-12-31);-;;-;;-;
;;;EU-25 third countries (until 2006-12-31);-;;-;;-;
;;;EU-15 (until 2004-04-30);-;;-;;-;
;;;EU-15 third countries (until 2004-04-30);-;;-;;-;
;;;EC-12 (until 1994-12-31);-;;-;;-;
;;;EC-12 third countries (until 1994-12-31);-;;-;;-;
;;;EC-10 (until 1985-12-31);-;;-;;-;
;;;EC-10 third countries (until 1985-12-31);-;;-;;-;
;;;EC-9 (until 1980-12-31);-;;-;;-;
;;;EC-9 third countries (until 1980-12-31);-;;-;;-;
;;;EEC-6 (until 1972-12-31);-;;-;;-;
;;;EEC-6 third countries (until 1972-12-31);-;;-;;-;
;;;Africa;-;;-;;-;
;;;North Africa;-;;-;;-;
;;;West Africa;-;;-;;-;
;;;Central Africa;-;;-;;-;
;;;East Africa;-;;-;;-;
;;;Southern Africa;-;;-;;-;
;;;America;-;;-;;-;
;;;North America;-;;-;;-;
;;;Central America and Caribbean;-;;-;;-;
;;;South America;-;;-;;-;
;;;Asia;-;;-;;-;
;;;South West Asia;-;;-;;-;
;;;South and South East Asia;-;;-;;-;
;;;East and Central Asia;-;;-;;-;
;;;Australia and Oceania;-;;-;;-;
;;;Countries of origin of foreign workers;-;;-;;-;
;;;Territory of former Yugoslavia;-;;-;;-;
;;;Territory of former Serbia and Montenegro;-;;-;;-;
;;;Territory of the former Soviet Union;-;;-;;-;
;;;Territory of former Czechoslovakia;-;;-;;-;
;;;United Kingdom incl. British overseas territories;-;;-;;-;
;06634;Schwalm-Eder-Kreis;Total;10725;e;9420;e;20145;e
;;;videlicet:;;;;;;
;;;Europe;6855;e;6530;e;13380;e
;;;EU-27 (since 2020-02-01);3800;e;2935;e;6735;e
;;;EU-27 third countries (since 2020-02-01);6925;e;6485;e;13410;e
;;;EU-28 (until 2020-01-31);3830;e;2950;e;6780;e
;;;EU-28 third countries (until 2020-01-31);6900;e;6470;e;13365;e
;;;EU-27 (until 2013-06-30);3710;e;2855;e;6565;e
;;;EU-27 third countries (until 2013-06-30);7015;e;6565;e;13580;e
;;;EU-25 (until 2006-12-31);2155;e;1680;e;3835;e
;;;EU-25 third countries (until 2006-12-31);8570;e;7745;e;16310;e
;;;EU-15 (until 2004-04-30);775;e;590;e;1370;e
;;;EU-15 third countries (until 2004-04-30);9950;e;8830;e;18780;e
;;;EC-12 (until 1994-12-31);695;e;510;e;1205;e
;;;EC-12 third countries (until 1994-12-31);10030;e;8915;e;18945;e
;;;EC-10 (until 1985-12-31);560;e;395;e;955;e
;;;EC-10 third countries (until 1985-12-31);10165;e;9025;e;19190;e
;;;EC-9 (until 1980-12-31);505;e;365;e;870;e
;;;EC-9 third countries (until 1980-12-31);10225;e;9055;e;19280;e
;;;EEC-6 (until 1972-12-31);465;e;340;e;800;e
;;;EEC-6 third countries (until 1972-12-31);10265;e;9080;e;19345;e
;;;Africa;695;e;530;e;1225;e
;;;North Africa;100;e;70;e;170;e
;;;West Africa;105;e;50;e;155;e
;;;Central Africa;35;e;40;e;70;e
;;;East Africa;455;e;360;e;815;e
;;;Southern Africa;5;e;10;e;10;e
;;;America;120;e;155;e;280;e
;;;North America;60;e;60;e;120;e
;;;Central America and Caribbean;25;e;20;e;45;e
;;;South America;40;e;75;e;115;e
;;;Asia;2960;e;2155;e;5115;e
;;;South West Asia;1500;e;985;e;2480;e
;;;South and South East Asia;260;e;415;e;675;e
;;;East and Central Asia;1205;e;755;e;1955;e
;;;Australia and Oceania;5;e;5;e;10;e
;;;Countries of origin of foreign workers;2250;e;1930;e;4180;e
;;;Territory of former Yugoslavia;560;e;525;e;1085;e
;;;Territory of former Serbia and Montenegro;210;e;205;e;420;e
;;;Territory of the former Soviet Union;1780;e;2450;e;4225;e
;;;Territory of former Czechoslovakia;30;e;30;e;60;e
;;;United Kingdom incl. British overseas territories;30;e;15;e;45;e
;06635;Waldeck-Frankenberg, Landkreis;Total;10465;e;9185;e;19650;e
;;;videlicet:;;;;;;
;;;Europe;6215;e;6145;e;12360;e
;;;EU-27 (since 2020-02-01);3090;e;2650;e;5740;e
;;;EU-27 third countries (since 2020-02-01);7375;e;6530;e;13905;e
;;;EU-28 (until 2020-01-31);3120;e;2670;e;5790;e
;;;EU-28 third countries (until 2020-01-31);7345;e;6510;e;13860;e
;;;EU-27 (until 2013-06-30);3010;e;2585;e;5595;e
;;;EU-27 third countries (until 2013-06-30);7455;e;6600;e;14055;e
;;;EU-25 (until 2006-12-31);2145;e;1890;e;4030;e
;;;EU-25 third countries (until 2006-12-31);8320;e;7295;e;15615;e
;;;EU-15 (until 2004-04-30);1390;e;985;e;2375;e
;;;EU-15 third countries (until 2004-04-30);9075;e;8195;e;17275;e
;;;EC-12 (until 1994-12-31);1285;e;905;e;2190;e
;;;EC-12 third countries (until 1994-12-31);9180;e;8280;e;17460;e
;;;EC-10 (until 1985-12-31);990;e;680;e;1670;e
;;;EC-10 third countries (until 1985-12-31);9475;e;8505;e;17980;e
;;;EC-9 (until 1980-12-31);835;e;550;e;1380;e
;;;EC-9 third countries (until 1980-12-31);9635;e;8635;e;18270;e
;;;EEC-6 (until 1972-12-31);795;e;520;e;1315;e
;;;EEC-6 third countries (until 1972-12-31);9670;e;8665;e;18335;e
;;;Africa;800;e;470;e;1270;e
;;;North Africa;170;e;80;e;250;e
;;;West Africa;110;e;75;e;185;e
;;;Central Africa;15;e;10;e;30;e
;;;East Africa;490;e;290;e;780;e
;;;Southern Africa;15;e;15;e;30;e
;;;America;105;e;130;e;235;e
;;;North America;45;e;45;e;95;e
;;;Central America and Caribbean;20;e;30;e;50;e
;;;South America;35;e;55;e;90;e
;;;Asia;3245;e;2350;e;5600;e
;;;South West Asia;1980;e;1350;e;3330;e
;;;South and South East Asia;300;e;385;e;690;e
;;;East and Central Asia;965;e;615;e;1580;e
;;;Australia and Oceania;5;e;-;;5;e
;;;Countries of origin of foreign workers;2635;e;1980;e;4615;e
;;;Territory of former Yugoslavia;715;e;595;e;1310;e
;;;Territory of former Serbia and Montenegro;400;e;320;e;715;e
;;;Territory of the former Soviet Union;1800;e;2580;e;4380;e
;;;Territory of former Czechoslovakia;70;e;95;e;165;e
;;;United Kingdom incl. British overseas territories;30;e;20;e;50;e
;06636;Werra-Meißner-Kreis;Total;5530;e;4365;e;9895;e
;;;videlicet:;;;;;;
;;;Europe;3040;e;2800;e;5840;e
;;;EU-27 (since 2020-02-01);1830;e;1385;e;3215;e
;;;EU-27 third countries (since 2020-02-01);3700;e;2980;e;6680;e
;;;EU-28 (until 2020-01-31);1870;e;1405;e;3275;e
;;;EU-28 third countries (until 2020-01-31);3660;e;2960;e;6625;e
;;;EU-27 (until 2013-06-30);1820;e;1370;e;3190;e
;;;EU-27 third countries (until 2013-06-30);3710;e;2995;e;6705;e
;;;EU-25 (until 2006-12-31);1225;e;960;e;2185;e
;;;EU-25 third countries (until 2006-12-31);4310;e;3405;e;7715;e
;;;EU-15 (until 2004-04-30);490;e;375;e;865;e
;;;EU-15 third countries (until 2004-04-30);5045;e;3990;e;9035;e
;;;EC-12 (until 1994-12-31);410;e;305;e;715;e
;;;EC-12 third countries (until 1994-12-31);5120;e;4060;e;9180;e
;;;EC-10 (until 1985-12-31);315;e;240;e;555;e
;;;EC-10 third countries (until 1985-12-31);5215;e;4125;e;9340;e
;;;EC-9 (until 1980-12-31);270;e;195;e;465;e
;;;EC-9 third countries (until 1980-12-31);5260;e;4170;e;9430;e
;;;EEC-6 (until 1972-12-31);220;e;165;e;390;e
;;;EEC-6 third countries (until 1972-12-31);5310;e;4200;e;9510;e
;;;Africa;535;e;325;e;860;e
;;;North Africa;100;e;40;e;135;e
;;;West Africa;125;e;65;e;185;e
;;;Central Africa;30;e;20;e;50;e
;;;East Africa;270;e;195;e;465;e
;;;Southern Africa;10;e;10;e;20;e
;;;America;70;e;85;e;155;e
;;;North America;35;e;30;e;70;e
;;;Central America and Caribbean;10;e;10;e;20;e
;;;South America;25;e;40;e;65;e
;;;Asia;1820;e;1100;e;2920;e
;;;South West Asia;835;e;560;e;1395;e
;;;South and South East Asia;195;e;215;e;410;e
;;;East and Central Asia;790;e;325;e;1120;e
;;;Australia and Oceania;5;e;5;e;5;e
;;;Countries of origin of foreign workers;945;e;705;e;1650;e
;;;Territory of former Yugoslavia;225;e;190;e;415;e
;;;Territory of former Serbia and Montenegro;110;e;100;e;210;e
;;;Territory of the former Soviet Union;670;e;1000;e;1670;e
;;;Territory of former Czechoslovakia;55;e;50;e;105;e
;;;United Kingdom incl. British overseas territories;35;e;20;e;60;e
;07111;Koblenz, kreisfreie Stadt;Total;11115;e;9720;e;20840;e
;;;videlicet:;;;;;;
;;;Europe;5915;e;5935;e;11850;e
;;;EU-27 (since 2020-02-01);3340;e;2860;e;6200;e
;;;EU-27 third countries (since 2020-02-01);7775;e;6860;e;14635;e
;;;EU-28 (until 2020-01-31);3380;e;2900;e;6280;e
;;;EU-28 third countries (until 2020-01-31);7735;e;6825;e;14560;e
;;;EU-27 (until 2013-06-30);3130;e;2675;e;5800;e
;;;EU-27 third countries (until 2013-06-30);7990;e;7050;e;15035;e
;;;EU-25 (until 2006-12-31);1870;e;1600;e;3465;e
;;;EU-25 third countries (until 2006-12-31);9250;e;8125;e;17370;e
;;;EU-15 (until 2004-04-30);1015;e;855;e;1870;e
;;;EU-15 third countries (until 2004-04-30);10100;e;8870;e;18970;e
;;;EC-12 (until 1994-12-31);920;e;755;e;1675;e
;;;EC-12 third countries (until 1994-12-31);10195;e;8965;e;19165;e
;;;EC-10 (until 1985-12-31);745;e;615;e;1360;e
;;;EC-10 third countries (until 1985-12-31);10375;e;9105;e;19480;e
;;;EC-9 (until 1980-12-31);655;e;535;e;1190;e
;;;EC-9 third countries (until 1980-12-31);10460;e;9185;e;19650;e
;;;EEC-6 (until 1972-12-31);600;e;480;e;1080;e
;;;EEC-6 third countries (until 1972-12-31);10515;e;9240;e;19755;e
;;;Africa;1050;e;575;e;1625;e
